ID;Ika;Sukup;Alue;Q41;Q42;Q53;Q43;Q44;Q45;Q46;Q47;Q54;Q48;Q49;Q50;Q51;Q52;Q55;Talous;Tulot
365;6;1;2;1;1; ;2000;13;5;1;1; ;9999;13;5;1;1; ;1;5
366;4;1;1;1;1; ;2011;13;1;1;1; ;2007;13;5;1;1; ;2;4
367;3;2;1;1;1; ;2012;8;3;3;1; ;2010;13;2;1;1; ;4;5
368;5;1;2;1;1; ;2012;2;1;3;1; ;2007;9;4;1;1; ;5;4
369;5;1;3;1;1; ;2011;5;2;1;1; ;2007;5;2;1;3; ;2;3
370;1;1;2;1;1; ;9999;13;5;1;7; ; ; ; ; ;3; ;1;1
372;5;1;2;1;1; ;2008;13;5;1;1; ;9999;13;5;1;1; ;2;1
373;4;1;2;1;3; ;2012;13;4;2;1; ;2007;13;1;2;3; ;2;4
374;2;1;1;1;1; ;2013;1;1;3;1; ;2012;2;1;2;1; ;6;5
376;4;1;4;1;3; ;9999;13;5;2;1; ;9999;13;5;1;3; ;3;5
383;6;1;2;1;1; ;9999;13;5;1;1; ;9999;13;5;1;1; ;2;1
385;2;2;2;1;3; ;2012;8;3;3;1; ;2010;1;1;2;3; ;4;2
387;1;2;3;1;3; ;2013;1;1;3;1; ;9999;13;5;1;7; ;5;5
389;2;2;2;1;1; ;2011;13;5;1;1; ;9999;13;5;1;1; ;2;2
391;4;1;1;1;4; ;2012;10;4;3;1; ;2011;13;4;3;4; ;2;4
394;6;1;2;1;1; ;2012;12;1;1;1; ;2008;13;4;1;7; ;2;2
396;4;2;3;1;1; ;2012;13;3;3;1; ;2010;13;5;2;2; ;5;3
397;4;2;3;1;1; ;2012;7;3;2;1; ;2009;13;5;1;1; ;5;2
398;3;1;3;1;1; ;2011;7;3;3;1; ;2007;12;1;2;1; ;1;2
401;6;2;3;1;1; ;9999;13;5;1;1; ;9999;13;5;1;1; ;1;2
402;3;2;3;1;1; ;2008;13;2;2;1; ;9999;13;5;1;1; ;4;3
403;1;1;3;1;4; ;2012;7;3;3;6;Siemens;2005;13;3;1;1; ;1;1
410;3;1;1;1;1; ;2012;3;2;3;1; ;2010;11;4;3;2; ;3;4
413;6;1;3;1;1; ;2005;13;5;1;1; ;2000;13;5;1;1; ;2;1
414;1;2;3;1;1; ;2010;13;1;1;1; ;9999;13;5;1;1; ;2;1
416;6;2;4;1;1; ;9999;13;5;1;1; ;9999;13;5;1;7; ;2;2
417;3;1;3;1;1; ;2012;13;1;3;3; ;2010;8;3;1;1; ;5;2
418;4;2;4;1;1; ;2008;12;1;1;1; ;9999;13;5;1;1; ;5;2
420;6;2;4;1;1; ;9999;13;5;2;1; ;9999;13;5;2;1; ;1;2
421;4;2;3;1;1; ;2010;12;1;1;1; ;2000;13;5;1;1; ;2;2
424;2;1;4;1;3; ;2012;11;4;3;1; ;2011;13;1;2;3; ;1;2
426;2;2;3;1;2; ;2009;1;1;3;1; ;2006;13;5;1;1; ;1;1
428;2;2;3;1;2; ;2010;13;2;3;2; ;2008;13;5;3;2; ;2;2
431;3;2;4;1;1; ;2011;13;1;1;1; ;2010;13;5;1;1; ;3;2
432;6;1;4;1;1; ;1998;13;5;1;7; ; ; ; ; ;1; ;2;1
433;2;2;3;1;2; ;2011;6;3;3;3; ;2009;13;5;3;2; ;2;5
435;3;1;4;1;1; ;2011;13;4;2;5; ;2008;13;5;1;5; ;4;2
437;2;2;3;1;1; ;2008;13;4;1;1; ;9999;13;5;1;3; ;4;2
440;6;2;4;1;1; ;2009;13;5;2;1; ;9999;13;5;1;7; ;1;1
441;6;2;4;1;1; ;2007;13;5;1;1; ;9999;13;5;1;7; ;2;2
444;3;1;4;1;2; ;2011;8;3;3;2; ;2009;1;1;3;2; ;4;4
448;3;1;3;1;3; ;2012;6;3;3;1; ;2008;13;5;2;7; ;3;4
449;2;2;4;1;3; ;2012;8;3;3;1; ;2010;13;5;1;3; ;5;2
453;1;1;1;1;4; ;2012;6;3;3;1; ;2006;13;5;2;3; ;2;1
454;2;1;3;1;1; ;2009;5;2;1;1; ;2007;13;1;1;1; ;3;2
455;4;2;3;1;1; ;2011;6;3;1;1; ;9999;13;5;1;1; ;2;2
456;4;1;4;1;5; ;2009;13;5;2;5; ;2008;13;5;1;7; ;4;2
457;1;2;3;1;1; ;2013;1;1;3;1; ;2012;6;3;2;1; ;3;5
458;3;1;4;1;1; ;2011;11;4;3;1; ;2005;3;2;1;1; ;1;5
460;2;1;3;1;2; ;2011;3;2;3;1; ;2007;13;5;2;2; ;5;1
461;1;1;3;1;2; ;2012;11;1;3;4; ;2011;1;1;3;2; ;2;1
463;4;1;3;1;2; ;2010;12;1;3;1; ;2003;6;3;2;2; ;3;1
472;2;2;2;1;1; ;2012;6;3;2;1; ;2008;13;5;1;1; ;3;2
478;4;2;4;1;1; ;2011;13;2;3;1; ;2008;13;5;3;3; ;2;4
480;2;2;3;1;2; ;2013;1;1;3;3; ;2011;1;1;3;2; ;2;1
481;2;2;4;1;2; ;2011;13;3;3;1; ;2010;13;1;2;2; ;2;5
484;2;2;1;1;1; ;2009;13;3;1;1; ;2006;13;5;1;1; ;1;1
486;2;1;1;1;1; ;2012;2;1;1;1; ;9999;13;5;1;1; ;4;5
488;1;2;4;1;1; ;2011;13;1;2;6;Siemens;9999;13;5;1;3; ;3;5
489;1;2;3;1;1; ;2012;10;4;3;1; ;2010;13;2;2;2; ;2;2
490;6;1;3;1;1; ;2011;6;3;1;1; ;9999;13;5;1;1; ;2;1
493;1;2;4;1;2; ;2012;2;1;3;1; ;9999;13;5;2;2; ;2;3
494;6;2;3;1;1; ;9999;13;5;1;1; ;9999;13;5;1;1; ;1;5
495;2;1;4;1;3; ;2012;7;3;3;1; ;2012;1;1;3;3; ;3;3
497;2;1;3;1;3; ;2012;12;1;3;1; ;2010;13;2;3;3; ;4;2
499;3;1;4;1;1; ;9999;13;5;1;1; ;9999;13;5;1;7; ;1;1
500;1;1;4;1;3; ;2012;9;4;3;3; ;2010;13;2;3;3; ;2;2
502;2;2;4;1;1; ;2012;13;5;3;1; ;9999;13;5;2;3; ;2;2
510;1;1;3;1;6;LG;2012;12;1;3;1; ;2010;6;3;2;7; ;3;2
511;1;2;3;1;1; ;2012;2;1;2;1; ;2009;11;1;1;1; ;4;5
515;1;1;3;1;5; ;2007;12;1;1;1; ;2006;13;5;1;3; ;2;1
518;1;2;4;1;1; ;2011;12;1;2;1; ;2009;7;3;1;2; ;1;1
519;6;1;4;1;1; ;9999;13;5;1;1; ;9999;13;5;1;1; ;2;2
520;2;2;3;1;2; ;2011;12;1;3;1; ;2009;8;3;2;2; ;3;3
522;1;2;3;1;1; ;2011;6;3;2;1; ;9999;13;5;2;7; ;1;1
527;1;1;4;1;1; ;2012;12;1;3;3; ;2012;1;1;3;3; ;4;5
528;1;2;4;1;1; ;2012;13;1;2;1; ;2009;13;5;2;1; ;4;5
532;1;1;3;1;5; ;2011;5;2;2;1; ;2009;5;2;1;5; ;2;3
533;6;1;3;1;1; ;2010;13;5;1;1; ;9999;13;5;1;7; ;2;5
539;6;1;3;1;1; ;2011;2;1;2;1; ;9999;13;5;1;1; ;2;1
553;6;1;3;1;1; ;2003;13;4;1;1; ;9999;13;5;1;1; ;2;2
561;6;1;3;1;1; ;2010;13;5;1;1; ;9999;13;5;1;1; ;2;1
565;1;1;2;1;1; ;2008;13;2;2;1; ;2006;13;5;4;1; ;1;5
566;1;1;2;1;2; ;2012;11;1;3;1; ;2010;9;4;3;2; ;2;3
568;6;2;2;1;1; ;2010;13;2;2;1; ;2007;13;2;1;7; ;1;1
570;1;1;2;1;3; ;2012;13;2;3;1; ;2005;13;5;1;3; ;1;2
571;6;2;1;1;2; ;2012;7;3;3;1; ;2008;13;5;1;2; ;1;5
574;2;2;4;1;1; ;2011;8;3;3;1; ;2009;13;5;3;1; ;2;1
575;1;1;4;1;1; ;2011;5;2;3;1; ;2010;13;5;2;3; ;3;5
577;1;2;3;1;2; ;2011;13;2;3;3; ;9999;13;5;2;2; ;2;1
585;2;2;3;1;3; ;2012;4;2;3;3; ;2011;4;2;2;3; ;4;2
587;2;1;1;1;5; ;2011;10;4;3;5; ;2007;13;5;1;7; ;1;1
590;6;1;4;1;1; ;2012;8;3;3;1; ;2011;13;3;3;7; ;1;1
591;6;1;4;1;3; ;2010;13;5;1;1; ;9999;13;5;1;1; ;2;2
592;2;1;3;1;1; ;2008;13;2;2;1; ;2006;13;1;1;1; ;1;1
593;1;1;4;1;3; ;2012;6;2;3;3; ;2010;8;3;3;3; ;1;1
596;3;1;4;1;1; ;9999;7;3;3;6; ;2003;12;1;1;1; ;5;4
597;3;2;3;1;1; ;2010;13;5;2;1; ;2005;13;4;1;1; ;2;2
598;5;2;4;1;1; ;2010;13;3;2;3; ;2008;13;5;1;1; ;3;2
599;6;1;4;1;1; ;2011;3;2;1;1; ;2006;13;5;1;1; ;1;1
600;2;1;4;1;1; ;2010;6;3;3;1; ;2005;13;5;2;7; ;5;2
601;6;1;4;1;1; ;9999;13;5;2;1; ;9999;13;5;2;1; ;2;5
603;4;1;4;1;3; ;2012;3;1;2;1; ;9999;13;5;1;3; ;4;3
604;5;1;4;1;1; ;2011;6;3;3;1; ;9999;13;5;2;7; ;1;4
605;5;1;4;1;2; ;2012;1;1;3;2; ;2010;13;1;3;2; ;3;2
607;3;1;4;1;3; ;2011;13;5;1;1; ;9999;13;5;1;3; ;5;3
609;6;2;3;1;1; ;2006;13;2;1;1; ;9999;13;5;1;6;Senioripuhelin;2;1
610;2;1;4;1;1; ;2012;11;1;3;3; ;2011;12;1;3;1; ;2;2
611;2;1;4;1;2; ;2012;4;2;3;2; ;2011;13;1;3;2; ;1;4
612;3;1;4;1;1; ;2010;13;5;1;1; ;2011;13;1;3;1; ;1;1
613;5;1;4;1;5; ;2011;13;4;3;1; ;2007;13;4;2;5; ;3;5
614;6;2;3;1;1; ;2007;10;4;1;1; ;2001;13;5;1;1; ;2;2
615;2;2;3;1;1; ;2010;12;1;2;1; ;2008;3;2;1;1; ;1;1
616;5;2;4;1;1; ;2012;4;2;3;1; ;2009;13;5;2;1; ;2;2
617;6;1;3;1;1; ;2010;13;4;1;1; ;9999;13;5;1;7; ;3;3
618;2;1;3;1;1; ;2010;5;2;3;1; ;2007;3;2;3;1; ;1;2
619;1;1;4;1;1; ;2012;13;1;1;5; ;2010;13;4;3;3; ;2;1
620;2;1;3;1;1; ;2011;11;4;2;1; ;9999;13;5;2;7; ;2;2
621;2;1;3;1;3; ;2011;13;1;3;1; ;2010;13;1;1;3; ;3;1
622;5;2;4;1;1; ;2012;8;3;2;1; ;2011;6;3;2;1; ;2;5
623;2;2;3;1;1; ;2010;12;1;2;1; ;2007;9;4;1;2; ;4;4
624;1;2;4;1;1; ;2012;2;1;3;1; ;9999;13;5;3;3; ;1;1
625;5;2;3;1;1; ;2011;9;4;2;1; ;9999;13;5;1;1; ;2;1
626;4;2;3;1;1; ;2008;13;1;1;1; ;9999;13;5;1;7; ;4;3
627;5;2;3;1;1; ;2011;13;5;1;1; ;2001;13;5;1;1; ;2;2
628;3;2;4;1;1; ;2010;3;1;2;1; ;2008;13;4;1;1; ;4;3
629;2;2;3;1;2; ;2012;9;4;3;2; ;2011;5;2;3;2; ;2;3
630;6;1;3;1;1; ;1998;13;5;1;1; ;1993;13;5;1;3; ;2;4
631;6;2;3;1;1; ;9999;13;5;1;1; ;9999;13;5;1;1; ;1;1
632;6;2;3;1;1; ;2011;12;1;1;1; ;9999;13;5;1;1; ;2;1
633;1;2;3;1;3; ;2011;12;1;2;1; ;2009;13;5;2;1; ;1;1
634;1;2;4;1;3; ;2009;13;1;2;1; ;9999;13;5;1;3; ;1;1
637;4;2;1;1;4; ;2011;13;2;3;1; ;2009;12;1;2;7; ;3;4
638;3;2;4;1;1; ;2008;2;1;2;1; ;9999;13;5;1;1; ;5;2
639;6;1;4;1;1; ;1997;13;5;1;1; ;9999;13;5;1;7; ;2;1
640;2;2;4;1;1; ;2013;1;1;3;1; ;2012;2;1;1;1; ;5;2
641;3;1;4;1;3; ;2012;3;2;3;1; ;2010;13;3;2;1; ;2;3
642;6;1;4;1;1; ;2010;13;5;2;1; ;9999;13;5;1;1; ;1;1
643;3;2;4;1;1; ;2012;7;3;3;1; ;2011;1;1;3;2; ;4;4
644;6;2;4;1;1; ;2011;9;4;1;1; ;9999;13;5;1;1; ;3;3
645;3;1;4;1;1; ;2012;8;3;3;1; ;2012;1;1;3;7; ;5;3
647;5;2;4;1;1; ;9999;13;5;1;1; ;9999;13;5;1;1; ;1;2
648;6;1;4;1;3; ;2011;3;2;1;1; ;2006;12;1;1;1; ;2;2
649;1;1;4;1;3; ;2013;1;1;3;1; ;2008;13;4;2;3; ;4;5
657;4;2;4;1;1; ;2012;2;1;3;1; ;2011;13;1;2;1; ;3;3
658;5;2;4;1;3; ;2010;13;5;2;1; ;2011;9;4;1;1; ;2;2
659;6;2;4;1;1; ;2012;13;2;3;1; ;2008;13;5;1;7; ;1;2
660;6;2;4;1;1; ;2012;13;3;2;1; ;2007;13;5;1;3; ;1;3
661;5;1;4;1;1; ;2006;13;5;1;1; ;9999;13;5;1;1; ;2;3
663;2;2;4;1;6;LG;2013;1;1;3;6;Huawei;2011;10;4;3;6;Huawei;2;2
666;6;1;1;1;1; ;2011;9;4;2;1; ;2009;9;4;1;1; ;1;2
667;2;2;4;1;3; ;2012;12;1;3;1; ;2008;5;2;1;3; ;1;1
668;4;1;4;1;1; ;2012;11;1;1;1; ;9999;13;5;1;3; ;1;2
669;5;2;4;1;1; ;9999;13;5;1;1; ;9999;13;5;1;7; ;4;4
670;1;2;4;1;3; ;9999;13;5;3;1; ;9999;13;5;1;2; ;4;5
671;4;1;4;1;1; ;2007;7;3;1;1; ;1998;13;5;1;3; ;4;2
672;5;2;4;1;1; ;2010;13;2;2;1; ;2008;13;2;2;7; ;2;2
673;1;2;4;1;3; ;2012;9;4;3;1; ;2011;3;2;1;3; ;1;1
674;1;1;1;1;1; ;2009;12;1;2;1; ;9999;13;5;1;3; ;2;2
675;1;2;2;1;1; ;2012;5;2;2;7; ; ; ; ; ;3; ;5;5
676;5;2;1;1;1; ;2010;13;5;1;1; ;2005;13;5;1;1; ;2;3
677;6;1;1;1;1; ;2009;13;5;2;1; ;2004;13;5;1;1; ;2;4
678;5;2;1;1;1; ;2009;13;4;1;1; ;2002;13;5;1;1; ;1;2
680;4;1;1;1;1; ;2011;13;3;2;1; ;2006;13;3;1;1; ;5;4
681;6;1;1;1;1; ;2010;8;3;2;1; ;9999;13;5;1;1; ;2;1
682;3;1;2;1;1; ;2006;13;5;1;1; ;9999;13;5;1;1; ;2;4
683;6;2;1;1;2; ;2012;12;1;3;1; ;2002;12;1;1;2; ;2;5
684;5;2;1;1;2; ;2012;12;1;3;1; ;2007;13;5;1;1; ;1;1
685;5;2;1;1;1; ;2012;10;4;3;1; ;9999;13;5;1;1; ;2;5
686;3;2;1;1;1; ;2011;13;5;3;5; ;9999;13;5;1;1; ;1;1
687;5;1;1;1;2; ;2010;13;3;3;1; ;2003;13;3;2;1; ;2;4
688;6;2;1;1;1; ;2011;9;4;3;1; ;2007;13;3;2;6;Huawei;1;2
689;4;1;1;1;1; ;2011;12;1;2;1; ;2005;13;5;1;1; ;3;1
690;6;2;1;1;1; ;2005;12;1;2;1; ;2003;13;5;1;1; ;1;1
691;6;1;1;1;1; ;2010;5;2;2;1; ;2007;12;1;1;3; ;2;2
692;6;2;1;1;6;Doro;2011;9;4;1;1; ;9999;13;5;1;7; ;1;1
693;4;1;1;1;2; ;2012;2;1;3;2; ;2010;2;1;3;2; ;5;4
694;6;2;1;1;1; ;2008;13;5;1;1; ;9999;13;5;1;1; ;3;5
695;5;1;1;1;1; ;2012;8;3;3;1; ;2010;13;5;1;3; ;4;4
696;4;2;1;1;1; ;2011;4;2;2;1; ;2009;13;5;2;1; ;1;4
697;6;1;1;1;1; ;2011;11;4;2;1; ;2009;10;4;3;1; ;2;3
698;5;1;1;1;1; ;2012;2;1;3;1; ;2005;13;5;1;1; ;4;4
699;5;1;1;1;1; ;2012;13;5;2;1; ;9999;13;5;1;7; ;2;5
700;5;2;1;1;1; ;2011;13;4;2;1; ;2006;13;5;2;7; ;2;5
701;6;1;1;1;1; ;2008;8;3;2;1; ;9999;13;5;1;1; ;2;1
702;5;2;1;1;1; ;2010;11;4;2;1; ;2008;13;5;2;7; ;1;5
703;5;1;1;1;1; ;2012;12;1;2;1; ;2007;13;4;1;1; ;2;4
705;4;1;1;1;1; ;2012;9;4;3;1; ;2007;13;5;2;1; ;1;3
706;6;1;1;1;1; ;2003;13;5;1;1; ;9999;13;5;1;7; ;3;2
707;4;1;1;1;1; ;9999;13;5;1;7; ; ; ; ; ;1; ;1;5
708;6;1;1;1;1; ;2003;10;4;1;1; ;1992;13;3;1;6;Doro;2;1
710;6;1;1;1;1; ;2012;6;3;1;1; ;2006;13;5;1;1; ;2;3
711;6;1;1;1;1; ;2011;2;1;1;1; ;2000;13;5;1;1; ;2;3
712;6;1;2;1;1; ;2009;13;1;1;1; ;9999;13;5;1;1; ;2;2
713;6;1;4;1;1; ;2010;13;2;1;1; ;2005;13;5;1;1; ;2;2
714;5;2;1;1;1; ;2010;13;5;2;1; ;9999;13;5;1;7; ;2;3
715;4;1;1;1;1; ;2012;13;2;3;1; ;9999;13;5;2;3; ;2;2
716;1;2;4;1;3; ;2012;11;4;3;1; ;2010;4;2;3;3; ;4;5
717;5;1;1;1;1; ;2010;12;1;2;1; ;2008;13;2;1;1; ;2;3
718;6;1;1;1;1; ;2009;13;5;1;1; ;9999;13;5;1;1; ;2;3
719;3;2;1;1;1; ;2012;12;1;3;1; ;2009;13;4;2;1; ;4;4
720;5;1;1;1;6;Doro;2012;11;4;1;1; ;9999;13;5;1;1; ;2;3
721;3;2;1;1;1; ;9999;13;5;1;1; ;9999;13;5;1;1; ;3;2
722;6;2;1;1;1; ;2009;13;5;1;7; ; ; ; ; ; ; ;6;5
724;5;1;1;1;1; ;2010;13;3;1;1; ;9999;13;5;1; ; ;6;5
725;4;1;1;1;1; ;2008;13;5;2;5; ;9999;13;5;1;1; ;3;5
726;5;2;1;1;2; ;2012;10;4;2;1; ;2009;13;5;1;7; ;2;5
727;2;1;1;1;1; ;2012;10;4;3;3; ;2010;13;5;3;3; ;2;2
728;6;1;1;1;1; ;2010;6;3;2;1; ;2007;9;4;1;3; ;2;2
729;6;1;1;1;1; ;2013;1;1;2;1; ;2012;13;5;2;1; ;2;2
730;6;2;1;1;1; ;2009;2;1;1;1; ;2007;12;1;1;1; ;2;2
731;6;1;1;1;1; ;2010;4;2;2;1; ;2012;4;2;3;1; ;2;3
732;4;1;1;1;1; ;2010;13;3;1;1; ;2007;13;5;1;1; ;2;1
733;6;1;1;1;1; ;2010;9;4;1;1; ;2003;13;5;1;1; ;1;2
735;6;2;1;1;1; ;2011;11;4;2;1; ;2008;13;5;1;1; ;1;5
736;5;1;1;1;1; ;2012;5;2;1;1; ;2009;13;1;2;1; ;4;3
737;4;2;1;1;1; ;2011;13;5;1;1; ;2002;13;5;1;5; ;2;5
738;4;2;1;1;1; ;2010;2;1;2;1; ;2005;5;2;2;1; ;1;1
739;5;2;1;1;1; ;2012;5;2;1;1; ;2000;13;5;1;7; ;2;2
740;6;2;1;1;1; ;2008;13;5;1;1; ;9999;13;5;1;1; ;2;2
741;5;1;2;1;1; ;2011;13;4;2;1; ;2007;13;5;1;3; ;2;3
742;3;1;1;1;3; ;2012;13;2;3;1; ;2006;13;5;1;7; ;2;3
743;6;1;1;1;1; ;9999;13;5;1;6;Denefon;9999;13;5;1;1; ;2;1
744;6;1;1;1;1; ;2011;4;2;3;1; ;2009;13;4;1;2; ;1;2
745;6;2;1;1;1; ;2011;13;2;2;1; ;2006;13;2;1;1; ;2;3
746;2;1;2;1;3; ;2012;2;1;3;1; ;2009;13;1;2;3; ;4;3
747;5;1;1;1;1; ;2009;13;1;1;1; ;1999;13;5;1;1; ;2;2
748;5;2;1;1;1; ;2006;13;3;1;1; ;9999;13;5;1;1; ;1;1
749;4;1;1;1;1; ;2010;10;4;2;1; ;2006;13;5;1;1; ;4;3
750;4;1;1;1;1; ;2012;6;3;3;1; ;2010;13;3;1;1; ;1;3
751;4;1;1;1;1; ;2013;1;1;1;1; ;2012;13;2;1;1; ;2;2
753;4;1;1;1;1; ;2011;11;4;2;1; ;2009;13;2;1;1; ;4;2
754;5;2;1;1;1; ;2011;13;5;2;1; ;9999;13;5;2;1; ;5;2
755;6;1;1;1;1; ;2011;13;3;3;1; ;2009;4;2;2;1; ;2;1
758;6;2;1;1;1; ;2013;1;1;2;1; ;2012;6;3;2;3; ;1;2
759;6;1;1;1;1; ;2005;6;3;1;1; ;1998;13;5;1;2; ;2;4
760;6;2;4;1;1; ;2011;7;3;2;1; ;2008;13;5;1;1; ;1;3
761;6;1;1;1;1; ;2011;13;3;2;1; ;9999;13;5;1;1; ;2;4
762;3;1;1;1;1; ;2004;13;5;1;1; ;1998;13;5;1;3; ;2;3
763;5;2;1;1;2; ;2010;13;5;3;2; ;2007;13;5;3;2; ;2;4
