year;month;population;empl;unempl;out.of.empl
2007;6;3980;2619;209;1152
2007;7;3981;2595;161;1225
2007;8;3983;2558;162;1264
2007;9;3985;2472;168;1345
2007;10;3988;2495;164;1329
2007;11;3989;2472;161;1357
2007;12;3991;2490;158;1343
2008;1;3993;2480;181;1332
2008;2;3995;2465;168;1362
2008;3;3997;2475;180;1342
2008;4;3999;2501;165;1333
2008;5;4001;2554;247;1201
2008;6;4004;2668;195;1141
2008;7;4006;2622;144;1239
2008;8;4008;2566;151;1291
2008;9;4008;2511;158;1339
2008;10;4011;2522;155;1334
2008;11;4012;2509;161;1342
2008;12;4014;2497;161;1355
2009;1;4015;2454;184;1376
2009;2;4017;2441;200;1376
2009;3;4019;2448;222;1349
2009;4;4021;2432;233;1355
2009;5;4022;2495;304;1224
2009;6;4024;2565;255;1204
2009;7;4026;2523;211;1293
2009;8;4028;2471;203;1354
2009;9;4030;2436;192;1401
2009;10;4031;2403;215;1413
2009;11;4033;2409;224;1399
2009;12;4034;2410;206;1418
2010;1;4035;2367;250;1418
2010;2;4037;2399;242;1397
2010;3;4038;2399;240;1399
2010;4;4040;2417;248;1374
2010;5;4042;2482;293;1267
2010;6;4043;2557;248;1238
2010;7;4044;2549;206;1289
2010;8;4046;2492;197;1357
2010;9;4047;2430;183;1434
2010;10;4048;2450;195;1404
2010;11;4050;2430;186;1434
2010;12;4051;2397;204;1449
2011;1;4051;2410;215;1426
2011;2;4053;2425;221;1407
2011;3;4054;2388;245;1422
2011;4;4055;2458;220;1377
2011;5;4057;2512;274;1272
2011;6;4058;2581;237;1240
2011;7;4059;2578;192;1289
2011;8;4060;2522;177;1360
2011;9;4062;2440;180;1441
2011;10;4063;2458;186;1420
2011;11;4065;2500;166;1399
2011;12;4067;2411;192;1464
2012;1;4068;2408;203;1457
2012;2;4070;2458;204;1408
2012;3;4071;2431;227;1412
2012;4;4072;2468;226;1378
2012;5;4073;2524;266;1282
2012;6;4074;2581;223;1271
2012;7;4075;2610;192;1273
2012;8;4076;2526;199;1351
2012;9;4077;2450;187;1440
2012;10;4079;2467;183;1429
2012;11;4081;2463;193;1425
2012;12;4082;2413;180;1489
2013;1;4082;2402;228;1452
2013;2;4084;2432;231;1421
2013;3;4084;2391;236;1458
2013;4;4084;2466;239;1379
2013;5;4085;2474;300;1311
2013;6;4086;2578;217;1291
2013;7;4086;2567;183;1337
2013;8;4087;2486;191;1411
2013;9;4088;2418;199;1471
2013;10;4090;2426;194;1470
2013;11;4091;2431;209;1450
2013;12;4091;2409;205;1477
2014;1;4091;2385;221;1485
2014;2;4093;2405;241;1446
2014;3;4093;2392;252;1450
2014;4;4094;2448;241;1405
2014;5;4094;2460;296;1337
2014;6;4095;2561;258;1275
2014;7;4095;2550;193;1352
2014;8;4096;2465;197;1434
2014;9;4097;2447;218;1432
2014;10;4099;2419;220;1459
2014;11;4099;2422;215;1462
2014;12;4100;2413;232;1455
2015;1;4101;2399;230;1471
2015;2;4101;2392;268;1441
2015;3;4099;2382;272;1445
2015;4;4099;2429;280;1391
2015;5;4099;2433;324;1341
2015;6;4099;2526;280;1293
2015;7;4099;2523;232;1345
2015;8;4101;2469;222;1409
2015;9;4102;2452;225;1424
2015;10;4106;2448;234;1424
2015;11;4108;2402;216;1490
2015;12;4109;2387;241;1481
2016;1;4110;2385;245;1481
2016;2;4110;2382;248;1480
2016;3;4110;2420;273;1416
2016;4;4109;2422;264;1423
2016;5;4108;2450;298;1361
2016;6;4108;2558;264;1286
2016;7;4108;2525;214;1369
2016;8;4107;2495;195;1417
2016;9;4108;2459;204;1445
2016;10;4109;2446;217;1446
2016;11;4109;2413;213;1483
2016;12;4109;2421;207;1481
